model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_resnet50,1003,4,nested_selected_nonlogit,avgpool,0.3588876688090451,0.4550913591195472,0.9291592808395149,0.9291378274586237,0.9367447953925919,0.007606967933968201
bbb_vgg19_bn,1001,0,nested_selected_nonlogit,block5,0.27063448935391926,0.31049760230427215,0.9486581753116583,0.9487635986727341,0.9508505497065631,0.0020869510338290542
bbb_vgg19_bn,1001,0,prespecified_prelogit,penultimate,0.27338085561526915,0.31331644773900214,0.9487907328237486,0.9488913717770009,0.9518076793175809,0.002916307540580032
bbb_vgg19_bn,1001,1,nested_selected_nonlogit,block5,0.27002130732454965,0.31052085336631535,0.9474025122176661,0.9474649341383112,0.9496393969405453,0.0021744628022341006
bbb_vgg19_bn,1001,1,prespecified_prelogit,penultimate,0.2727215840549127,0.3124625652713271,0.9488589127363539,0.948983722564263,0.9516336617091824,0.0026499391449194
bbb_vgg19_bn,1001,2,nested_selected_nonlogit,block5,0.2708825173943887,0.3103720145715976,0.9467979191910738,0.9468783631534095,0.9490674537826957,0.0021890906292862944
bbb_vgg19_bn,1001,2,prespecified_prelogit,penultimate,0.2729374821799891,0.31290210471998403,0.9495328702470163,0.9496442806185347,0.9523947185892709,0.0027504379707362636
bbb_vgg19_bn,1001,3,nested_selected_nonlogit,block5,0.2696562291560919,0.3109197158995781,0.9483478417401277,0.9483869649403976,0.9503925954593204,0.002005630518922774
bbb_vgg19_bn,1001,3,prespecified_prelogit,penultimate,0.2722817784485786,0.3127777117481033,0.9497133833747113,0.9497965195891118,0.9525154223620421,0.0027189027729302984
bbb_vgg19_bn,1001,4,nested_selected_nonlogit,block5,0.27011460456123354,0.31008759336427516,0.9482339430715395,0.948299629372714,0.9506533584666752,0.0023537290939612543
bbb_vgg19_bn,1001,4,prespecified_prelogit,penultimate,0.27217241509190115,0.31304936192089794,0.9497783707128558,0.9498707933135984,0.9522521382106769,0.00238134489707853
bbb_vgg19_bn,1002,0,nested_selected_nonlogit,block5,0.2691721150080992,0.3047184462681029,0.9418153049175766,0.9419630591123844,0.9428825551369548,0.0009194960245704209
bbb_vgg19_bn,1002,0,prespecified_prelogit,penultimate,0.2734059362889944,0.3101981011691707,0.9438984560866377,0.9440242319717556,0.9454339460702268,0.0014097140984712375
bbb_vgg19_bn,1002,1,nested_selected_nonlogit,block5,0.27012807172362263,0.3055385278691716,0.9417320836632362,0.9419038660369048,0.9428428297268341,0.0009389636899292952
bbb_vgg19_bn,1002,1,prespecified_prelogit,penultimate,0.27258310797362206,0.30877396534328927,0.9440396805466663,0.9441029348654985,0.9452616178107812,0.001158682945282763
bbb_vgg19_bn,1002,2,nested_selected_nonlogit,block5,0.2703137879231624,0.30638944806663043,0.9421841813102239,0.9423413990455107,0.9431531456065684,0.0008117465610576469
bbb_vgg19_bn,1002,2,prespecified_prelogit,penultimate,0.2733060713093467,0.3103498672342107,0.9424512486927805,0.9425482057841588,0.943673952065067,0.0011257462809082242
bbb_vgg19_bn,1002,3,nested_selected_nonlogit,block5,0.2704569893632502,0.30578512838748456,0.9420821989105451,0.9421694005002881,0.9430960843338032,0.0009266838335151295
